epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,949.075,1.91874,3.71467,1.89401,0.19229,0.18767,0.15258,0.06262,2.1293,4.16262,2.13346,0.00036763,0.00036763,0.00036763
2,1878.45,1.93302,3.23862,1.87527,0.44831,0.18028,0.14779,0.05714,2.26564,4.743,2.23835,0.000713611,0.000713611,0.000713611
3,2809.04,1.94746,3.01398,1.88985,0.29436,0.22639,0.18483,0.07473,2.16951,3.33553,2.18694,0.00103515,0.00103515,0.00103515
4,3718.02,1.93111,2.9198,1.90776,0.53483,0.12771,0.13344,0.04743,2.25347,3.74029,2.34591,0.00100101,0.00100101,0.00100101
5,4656.15,1.91143,2.7307,1.87467,0.27949,0.27984,0.22627,0.0972,2.02518,2.94978,2.14481,0.000964348,0.000964348,0.000964348
6,5597.21,1.85986,2.60006,1.85218,0.41664,0.22457,0.27746,0.12517,1.98971,2.82603,1.98266,0.000927685,0.000927685,0.000927685
7,6515.95,1.81246,2.51128,1.81107,0.38003,0.37165,0.31889,0.14093,1.93741,2.5459,1.95485,0.000891022,0.000891022,0.000891022
8,7388.77,1.8001,2.46079,1.79461,0.37525,0.29027,0.25281,0.10667,1.97208,2.81538,2.01522,0.000854359,0.000854359,0.000854359
9,8255.34,1.7794,2.39023,1.76503,0.44167,0.3698,0.34381,0.15009,1.90529,2.35201,1.95226,0.000817696,0.000817696,0.000817696
10,9125.17,1.7876,2.33297,1.7674,0.3999,0.33999,0.33243,0.14772,1.91985,2.44744,1.97488,0.000781033,0.000781033,0.000781033
11,9993.02,1.73857,2.28385,1.74337,0.43328,0.33992,0.34925,0.15845,1.95084,2.32336,1.98956,0.00074437,0.00074437,0.00074437
12,10861.8,1.73024,2.22029,1.72741,0.46249,0.39734,0.39088,0.17323,1.89436,2.22533,1.91284,0.000707707,0.000707707,0.000707707
13,11731.7,1.69969,2.20238,1.70978,0.45255,0.39288,0.38267,0.1657,1.96358,2.2339,2.00968,0.000671044,0.000671044,0.000671044
14,12600.7,1.68626,2.12035,1.69428,0.44548,0.43527,0.40589,0.188,1.87277,2.10056,1.87629,0.000634381,0.000634381,0.000634381
15,13468.4,1.67314,2.09405,1.68166,0.4756,0.41954,0.41605,0.19304,1.84432,2.13198,1.88962,0.000597718,0.000597718,0.000597718
16,14337.4,1.68235,2.07223,1.67917,0.43182,0.43901,0.41021,0.18972,1.87203,2.12483,1.89575,0.000561055,0.000561055,0.000561055
17,15207.5,1.65413,2.0401,1.6609,0.45421,0.47613,0.42949,0.20111,1.81467,2.13183,1.88188,0.000524392,0.000524392,0.000524392
18,16077.8,1.63856,1.97732,1.65077,0.45851,0.48288,0.43341,0.19729,1.84157,2.29381,1.89047,0.000487729,0.000487729,0.000487729
19,16947.9,1.62453,1.9846,1.63783,0.47051,0.45179,0.43309,0.20149,1.82714,2.10272,1.86957,0.000451066,0.000451066,0.000451066
20,17817,1.60377,1.88604,1.62571,0.47537,0.48719,0.457,0.22257,1.80606,1.98091,1.84156,0.000414403,0.000414403,0.000414403
21,18681.5,1.6407,1.77991,1.69118,0.56294,0.45484,0.47998,0.23524,1.81498,1.92219,1.83007,0.00037774,0.00037774,0.00037774
22,19543.5,1.60498,1.70648,1.67231,0.55472,0.47531,0.49259,0.23481,1.78734,1.88493,1.82807,0.000341077,0.000341077,0.000341077
23,20404.9,1.57952,1.63852,1.66515,0.56504,0.46967,0.49264,0.23705,1.79634,1.87715,1.82773,0.000304414,0.000304414,0.000304414
24,21268.2,1.5437,1.55848,1.60807,0.53253,0.5185,0.52612,0.2605,1.74012,1.79686,1.7845,0.000267751,0.000267751,0.000267751
25,22133.2,1.54317,1.52417,1.61135,0.5652,0.49058,0.52349,0.261,1.75564,1.79208,1.78667,0.000231088,0.000231088,0.000231088
26,22996,1.51935,1.47192,1.58391,0.57704,0.54026,0.55162,0.26877,1.75977,1.74811,1.79587,0.000194425,0.000194425,0.000194425
27,23859.4,1.5082,1.4609,1.58284,0.62252,0.4977,0.54181,0.26976,1.74383,1.73251,1.76156,0.000157762,0.000157762,0.000157762
28,24721.8,1.47611,1.40091,1.54279,0.58485,0.52386,0.54142,0.2714,1.74776,1.73045,1.77921,0.000121099,0.000121099,0.000121099
29,25610.6,1.43716,1.35358,1.52413,0.65101,0.49901,0.55387,0.27535,1.75642,1.71423,1.78773,8.4436e-05,8.4436e-05,8.4436e-05
30,26504.6,1.44023,1.33606,1.5367,0.6049,0.52638,0.55962,0.28199,1.75569,1.70363,1.7856,4.7773e-05,4.7773e-05,4.7773e-05
